createdAt,value
2022-08-01 00:55:00.184000+00:00,18.2
2022-08-01 01:55:00.191000+00:00,17.8
2022-08-01 02:55:00.179000+00:00,17.8
2022-08-01 03:55:00.190000+00:00,17.7
2022-08-01 04:55:00.219000+00:00,17.3
2022-08-01 05:55:00.195000+00:00,17.8
2022-08-01 06:55:00.191000+00:00,18.6
2022-08-01 07:55:00.158000+00:00,18.8
2022-08-01 08:55:00.223000+00:00,18.9
2022-08-01 09:15:00.166000+00:00,19.3
2022-08-01 12:55:00.180000+00:00,21.8
2022-08-01 13:55:00.189000+00:00,24.4
2022-08-01 14:55:00.191000+00:00,23.9
2022-08-01 15:55:00.192000+00:00,24.0
2022-08-01 16:55:00.195000+00:00,22.8
2022-08-01 17:55:00.188000+00:00,22.6
2022-08-01 18:55:00.181000+00:00,19.2
2022-08-01 19:55:00.175000+00:00,17.2
2022-08-01 20:55:00.191000+00:00,15.5
2022-08-01 21:55:00.179000+00:00,13.7
2022-08-01 22:55:00.231000+00:00,13.0
2022-08-01 23:55:07.847000+00:00,12.9
2022-08-02 00:55:00.205000+00:00,12.5
2022-08-02 01:55:00.201000+00:00,11.6
2022-08-02 02:55:00.201000+00:00,11.6
2022-08-02 03:55:00.174000+00:00,12.2
2022-08-02 04:55:00.207000+00:00,12.9
2022-08-02 05:55:00.188000+00:00,15.6
2022-08-02 06:55:00.324000+00:00,18.4
2022-08-02 07:55:00.191000+00:00,22.3
2022-08-02 08:55:00.186000+00:00,24.5
2022-08-02 09:55:00.211000+00:00,25.3
2022-08-02 10:55:00.192000+00:00,25.9
2022-08-02 11:55:00.199000+00:00,27.0
2022-08-02 12:55:00.228000+00:00,27.6
2022-08-02 13:55:00.180000+00:00,28.9
2022-08-02 14:45:00.211000+00:00,28.4
2022-08-03 02:55:00.206000+00:00,19.0
2022-08-03 03:55:01.329000+00:00,18.5
2022-08-03 04:55:00.237000+00:00,19.2
2022-08-03 05:55:00.237000+00:00,20.8
2022-08-03 06:55:00.225000+00:00,22.3
2022-08-03 07:55:00.241000+00:00,23.7
2022-08-03 08:55:00.344000+00:00,26.2
2022-08-03 09:55:00.186000+00:00,28.1
2022-08-03 10:55:00.214000+00:00,29.3
2022-08-03 11:55:00.207000+00:00,30.2
2022-08-03 12:55:00.269000+00:00,31.1
